k,label,recall,support
2,dga.qadars,0.9242424242424242,66
2,dga.qakbot,0.9800747198007472,2409
2,dga.ramdo,0.999023199023199,4095
2,dga.ramnit,0.9384323298074315,3687
2,dga.ranbyus,0.9904153354632588,939
2,dga.rovnix,0.9976808905380334,2156
2,dga.shifu,0.9158878504672897,107
2,dga.shiotob/urlzone/bebloh,0.9607072691552063,509
2,dga.simda,0.9069148936170213,1128
2,dga.sisron,1,2
2,dga.suppobox,0.4066265060240964,332
2,dga.symmi,0.9777777777777777,180
2,dga.tempedreve,0.8,10
2,dga.tinba,0.9903325599381284,7758
2,dga.vawtrak,0.9166666666666666,12
2,dga.virut,0.45188284518828453,478
2,dga.volatile,0.7380952380952381,42
2,dga.zeus,1,38
2,normal.alexa,0.9934720624280926,39982
2,normal.bambenek,0.8780487804878049,123
3,dga.bamital,0.875,32
3,dga.banjori,0.999772144688123,17555
3,dga.bedep,0.9666666666666667,30
3,dga.beebone,0.5,8
3,dga.chinad,1,9
3,dga.conficker,0.878103277060576,4028
3,dga.corebot,0.8857142857142857,35
3,dga.cryptolocker,0.9893640593840017,4513
3,dga.cryptowall,0.25,4
3,dga.dircrypt,1,25
3,dga.dyre,0.9106302916274694,1063
3,dga.fobber,1,22
3,dga.gameover,1,483
3,dga.geodo,1,77
3,dga.goz,1,68
3,dga.hesperbot,0.8571428571428571,7
3,dga.kraken,0.9612403100775194,387
3,dga.locky,0.9611111111111111,360
3,dga.matsnu,0.9737631184407796,4002
3,dga.murofet,0.9903651115618661,1972
3,dga.necurs,0.9630996309963099,3252
3,dga.newgoz,0.9848484848484849,66
3,dga.nymaim,0.8732919254658386,805
3,dga.p2p,1,161
3,dga.padcrypt,0.987012987012987,77
3,dga.post,0.9977308826866349,8814
3,dga.proslikefan,1,4
3,dga.pushdo,0.9736491881820601,3757
3,dga.pykspa,0.929126213592233,1030
3,dga.pykspa_v1,1,1
3,dga.pykspa_v2_fake,0.9375,32
3,dga.pykspa_v2_real,0.8571428571428571,7
3,dga.qadars,0.8507462686567164,67
3,dga.qakbot,0.9763387297633873,2409
3,dga.ramdo,0.9997557997557998,4095
3,dga.ramnit,0.9503526858383071,3686
3,dga.ranbyus,0.9936034115138592,938
3,dga.rovnix,0.9967517401392111,2155
3,dga.shifu,0.9433962264150944,106
3,dga.shiotob/urlzone/bebloh,0.9529411764705882,510
3,dga.simda,0.9282550930026572,1129
3,dga.sisron,1,3
3,dga.suppobox,0.45180722891566266,332
3,dga.symmi,1,180
3,dga.tempedreve,0.9,10
3,dga.tinba,0.9935550399587523,7758
3,dga.vawtrak,0.5,12
3,dga.virut,0.5815899581589958,478
3,dga.volatile,0.9761904761904762,42
3,dga.zeus,1,38
3,normal.alexa,0.9897954079335701,39982
3,normal.bambenek,0.8292682926829268,123
4,dga.bamital,1,32
4,dga.banjori,0.9998860723440616,17555
4,dga.bedep,0.9666666666666667,30
4,dga.beebone,1,8
4,dga.chinad,1,10
4,dga.conficker,0.8646971201588878,4028
4,dga.corebot,1,35
4,dga.cryptolocker,0.9862619100376689,4513
4,dga.cryptowall,0,4
4,dga.dircrypt,1,25
4,dga.dyre,1,1063
4,dga.fobber,0.9545454545454546,22
4,dga.gameover,1,484
4,dga.geodo,0.9743589743589743,78
4,dga.goz,1,68
4,dga.hesperbot,0.8571428571428571,7
4,dga.kraken,0.9430051813471503,386
4,dga.locky,0.9444444444444444,360
4,dga.matsnu,0.9867566216891555,4002
4,dga.murofet,0.992393509127789,1972
4,dga.necurs,0.956347986474024,3253
4,dga.newgoz,1,66
4,dga.nymaim,0.8498759305210918,806
4,dga.p2p,1,161
4,dga.padcrypt,0.974025974025974,77
4,dga.post,1,8814
4,dga.proslikefan,0.5,4
4,dga.pushdo,0.9635250266240681,3756
4,dga.pykspa,0.9048543689320389,1030
4,dga.pykspa_v1,1,1
4,dga.pykspa_v2_fake,0.875,32
4,dga.pykspa_v2_real,1,7
4,dga.qadars,0.9545454545454546,66
4,dga.qakbot,0.9809049398090494,2409
4,dga.ramdo,0.9987789987789988,4095
4,dga.ramnit,0.9422137818773738,3686
4,dga.ranbyus,0.9904153354632588,939
4,dga.rovnix,0.9990723562152134,2156
4,dga.shifu,0.9150943396226415,106
4,dga.shiotob/urlzone/bebloh,0.9745098039215686,510
4,dga.simda,0.9247121346324181,1129
4,dga.sisron,1,2
4,dga.suppobox,0.540785498489426,331
4,dga.symmi,1,180
4,dga.tempedreve,0.9,10
4,dga.tinba,0.9934261407579273,7758
4,dga.vawtrak,0.6923076923076923,13
4,dga.virut,0.4393305439330544,478
4,dga.volatile,0.9761904761904762,42
4,dga.zeus,1,38
4,normal.alexa,0.9912210494722625,39982
4,normal.bambenek,0.8861788617886179,123
5,dga.bamital,1,31
5,dga.banjori,0.9997721576668945,17556
5,dga.bedep,0.9333333333333333,30
5,dga.beebone,1,7
5,dga.chinad,1,9
5,dga.conficker,0.8150446871896723,4028
5,dga.corebot,0.9714285714285714,35
5,dga.cryptolocker,0.9740748947485043,4513
5,dga.cryptowall,0,4
5,dga.dircrypt,0.88,25
5,dga.dyre,1,1063
5,dga.fobber,0.9090909090909091,22
5,dga.gameover,1,483
5,dga.geodo,0.9871794871794872,78
5,dga.goz,1,68
5,dga.hesperbot,1,7
5,dga.kraken,0.9405684754521964,387
5,dga.locky,0.925207756232687,361
5,dga.matsnu,0.9832583708145927,4002
5,dga.murofet,0.9939148073022313,1972
5,dga.necurs,0.9443419434194342,3252
5,dga.newgoz,1,65
5,dga.nymaim,0.825062034739454,806
5,dga.p2p,1,160
5,dga.padcrypt,0.948051948051948,77
5,dga.post,0.9997730625212754,8813
5,dga.proslikefan,0.8,5
5,dga.pushdo,0.9765708200212992,3756
5,dga.pykspa,0.8777885548011639,1031
5,dga.pykspa_v1,1,1
5,dga.pykspa_v2_fake,0.8484848484848485,33
5,dga.pykspa_v2_real,1,7
5,dga.qadars,0.8805970149253731,67
5,dga.qakbot,0.9672063096720631,2409
5,dga.ramdo,0.9987789987789988,4095
5,dga.ramnit,0.9183396635919696,3686
5,dga.ranbyus,0.990405117270789,938
5,dga.rovnix,0.9995359628770302,2155
5,dga.shifu,0.9056603773584906,106
5,dga.shiotob/urlzone/bebloh,0.9235294117647059,510
5,dga.simda,0.9158547387068202,1129
5,dga.sisron,1,2
5,dga.suppobox,0.3132530120481928,332
5,dga.symmi,0.9555555555555556,180
5,dga.tempedreve,1,10
5,dga.tinba,0.9822119102861562,7758
5,dga.vawtrak,0.9230769230769231,13
5,dga.virut,0.3493723849372385,478
5,dga.volatile,0.7804878048780488,41
5,dga.zeus,1,38
5,normal.alexa,0.9943724676104246,39982
5,normal.bambenek,0.8861788617886179,123
6,dga.bamital,1,31
6,dga.banjori,1,17555
6,dga.bedep,0.967741935483871,31
6,dga.beebone,1,8
6,dga.chinad,1,9
6,dga.conficker,0.9185700099304865,4028
6,dga.corebot,1,35
6,dga.cryptolocker,0.994017283403501,4513
6,dga.cryptowall,0.25,4
6,dga.dircrypt,0.96,25
6,dga.dyre,1,1064
6,dga.fobber,1,22
6,dga.gameover,1,484
6,dga.geodo,1,77
6,dga.goz,1,69
6,dga.hesperbot,0.5714285714285714,7
6,dga.kraken,0.9896640826873385,387
6,dga.locky,0.9638888888888889,360
6,dga.matsnu,0.9940044966275293,4003
6,dga.murofet,0.9979705733130391,1971
6,dga.necurs,0.9812480786965878,3253
6,dga.newgoz,1,66
6,dga.nymaim,0.9305210918114144,806
6,dga.p2p,1,160
6,dga.padcrypt,0.987012987012987,77
6,dga.post,0.9998865441343318,8814
6,dga.proslikefan,1,4
6,dga.pushdo,0.9885516506922257,3756
6,dga.pykspa,0.9515033947623667,1031
6,dga.pykspa_v1,1,1
6,dga.pykspa_v2_fake,0.9375,32
6,dga.pykspa_v2_real,1,7
6,dga.qadars,0.9696969696969697,66
6,dga.qakbot,0.9933582399335824,2409
6,dga.ramdo,0.9997557997557998,4095
6,dga.ramnit,0.9720640086791429,3687
6,dga.ranbyus,0.9957401490947817,939
6,dga.rovnix,1,2156
6,dga.shifu,0.9439252336448598,107
6,dga.shiotob/urlzone/bebloh,0.984313725490196,510
6,dga.simda,0.9663120567375887,1128
6,dga.sisron,1,2
6,dga.suppobox,0.7981927710843374,332
6,dga.symmi,0.994413407821229,179
6,dga.tempedreve,0.9,10
6,dga.tinba,0.9978087135859758,7758
6,dga.vawtrak,0.8461538461538461,13
6,dga.virut,0.6380753138075314,478
6,dga.volatile,1,42
6,dga.zeus,1,39
6,normal.alexa,0.978940523235456,39982
6,normal.bambenek,0.8387096774193549,124
7,dga.bamital,1,32
7,dga.banjori,0.9991455425804614,17555
7,dga.bedep,0.9666666666666667,30
7,dga.beebone,1,8
7,dga.chinad,1,10
7,dga.conficker,0.8167370250807052,4027
7,dga.corebot,0.9714285714285714,35
7,dga.cryptolocker,0.9818302681143364,4513
7,dga.cryptowall,0,4
7,dga.dircrypt,0.92,25
7,dga.dyre,1,1063
7,dga.fobber,0.8260869565217391,23
7,dga.gameover,1,483
7,dga.geodo,0.9743589743589743,78
7,dga.goz,1,69
7,dga.hesperbot,1,7
7,dga.kraken,0.9457364341085271,387
7,dga.locky,0.9333333333333333,360
7,dga.matsnu,0.9632683658170914,4002
7,dga.murofet,0.992393509127789,1972
7,dga.necurs,0.9409775591761451,3253
7,dga.newgoz,1,65
7,dga.nymaim,0.8260869565217391,805
7,dga.p2p,1,161
7,dga.padcrypt,0.948051948051948,77
7,dga.post,0.999546176537327,8814
7,dga.proslikefan,0.8,5
7,dga.pushdo,0.9563365282215123,3756
7,dga.pykspa,0.8642095053346266,1031
7,dga.pykspa_v1,1,1
